30.413,29.510,41.923,28.381,18.022,30.851,31.336,36.210,23.392,20.701,31.335,22.029,5.879,18.852,19.619,23.894,16.166,15.146,22.664,10.483,1.245,10.768,13.098,15.883,12.802,11.639,16.319,7.374,-5.313,5.359,7.217,8.285,11.642,9.497,12.720,6.296,-3.769,5.683,6.633,6.652,11.717,10.901,14.260,9.226,-1.960,7.593,9.006,10.070,20.429,21.642,25.228,20.948,0.381,18.042,18.894,21.287,30.831,20.713,13.182,7.960,6.919,8.852,18.356,41.724,28.797,18.972,12.243,8.891,10.950,19.303
30.527,29.474,41.935,28.399,18.016,30.957,31.355,35.812,23.558,20.685,31.439,22.118,5.926,19.246,19.851,24.892,16.470,15.266,23.330,11.190,1.630,10.992,13.178,16.526,12.480,12.346,16.629,7.268,-5.535,4.680,7.084,8.904,11.541,9.710,12.962,5.669,-3.810,5.306,6.209,6.441,11.504,13.445,14.476,9.279,-2.089,7.748,9.947,10.369,20.807,22.401,25.593,21.350,0.207,18.388,19.462,21.574,30.809,20.964,13.573,7.982,6.754,9.335,18.723,41.675,29.111,19.377,12.809,9.105,11.945,20.061
31.770,29.603,42.058,31.576,18.027,31.057,31.352,36.548,23.656,20.621,32.145,22.184,5.926,18.935,20.176,25.261,16.964,15.132,23.888,12.682,1.999,11.717,13.274,17.993,12.267,13.550,16.792,7.219,-5.347,4.525,7.732,9.694,11.260,10.406,12.968,5.093,-4.019,4.742,5.841,6.440,11.492,14.367,14.504,9.352,-1.922,7.779,10.381,10.386,21.007,22.519,25.786,21.519,0.072,18.544,19.597,21.781,31.499,21.113,14.206,8.304,6.591,9.542,18.853,42.279,29.459,20.075,13.568,9.437,12.292,20.218
33.752,30.711,43.658,34.776,18.063,31.527,31.416,38.674,24.091,20.703,32.191,22.944,5.955,20.094,20.306,26.047,17.104,15.088,24.062,13.060,2.455,11.903,13.360,18.607,12.264,14.153,16.916,7.616,-5.184,4.663,8.054,10.517,11.036,11.250,12.959,4.169,-4.308,4.072,5.577,6.364,11.454,14.410,14.490,9.485,-1.915,7.720,10.195,10.394,21.236,22.830,26.054,21.778,0.260,18.789,19.868,22.002,32.822,21.541,14.455,8.625,6.390,9.529,19.102,43.592,29.903,20.489,14.092,9.789,12.272,20.539
35.232,31.774,46.151,36.572,18.217,31.856,31.370,40.488,24.561,22.623,32.405,23.844,6.541,21.317,22.435,27.205,17.121,15.147,24.121,13.294,2.566,11.935,13.467,19.210,12.348,14.208,17.083,8.074,-4.877,4.944,8.175,10.629,10.759,11.871,12.860,3.703,-4.631,3.409,6.154,6.517,11.460,14.612,14.454,9.370,-2.272,7.665,10.238,10.393,21.524,23.049,26.268,22.023,0.170,18.997,20.120,22.233,33.958,22.616,14.608,8.823,6.330,9.490,19.298,44.991,30.513,20.826,14.320,10.080,12.342,20.777
35.979,32.109,48.397,37.245,18.708,31.702,31.197,41.274,24.584,23.081,32.437,23.964,6.830,21.402,22.840,27.825,17.087,15.558,24.130,13.418,2.532,11.904,13.628,19.571,12.388,14.162,17.216,8.493,-4.438,5.313,8.237,10.673,10.657,12.633,12.772,3.542,-5.090,3.022,7.084,7.154,11.393,14.794,14.444,9.321,-3.013,7.485,10.353,10.387,21.693,23.209,26.452,22.220,0.256,19.182,20.292,22.431,34.576,22.870,14.729,9.006,6.472,9.396,19.467,46.017,30.811,21.064,14.511,10.555,12.388,20.961
36.268,32.017,50.091,37.351,19.457,31.374,31.312,41.314,24.823,24.060,32.526,24.109,7.362,21.859,23.350,27.802,17.059,15.928,24.200,13.511,2.489,12.086,13.924,19.748,12.358,14.086,17.388,8.690,-4.092,5.399,8.176,10.846,10.551,12.867,12.878,3.365,-5.616,2.744,7.486,7.461,11.518,14.934,15.379,9.278,-2.910,7.386,10.559,10.347,21.787,23.269,26.558,22.308,0.324,19.242,20.359,22.519,34.898,23.236,14.868,9.106,6.467,9.561,19.546,46.705,31.175,21.260,14.726,10.775,12.771,21.081
36.328,31.857,51.168,37.394,19.984,31.481,32.191,41.563,24.880,24.367,32.986,24.158,8.408,22.056,23.478,27.763,17.116,16.093,24.605,13.570,2.463,12.337,13.960,20.017,12.401,14.145,18.760,8.845,-3.874,5.411,8.090,11.000,10.466,12.910,14.469,2.849,-5.917,2.453,7.651,7.858,11.503,15.012,15.862,9.096,-2.716,7.275,10.652,10.330,21.817,23.320,26.589,22.332,0.142,19.267,20.387,22.530,35.246,23.512,15.020,9.347,6.593,9.627,19.548,47.420,31.520,21.474,15.259,11.352,13.009,21.101
36.309,32.019,51.585,37.680,20.087,32.754,33.836,43.061,24.904,25.079,34.752,24.138,8.489,23.216,23.884,27.859,17.253,16.797,25.414,13.654,2.392,12.553,14.162,20.078,12.570,14.550,20.741,9.107,-3.579,5.531,8.086,11.137,10.406,12.965,15.474,2.474,-5.949,2.232,7.668,8.005,11.416,14.993,15.885,9.043,-2.936,7.223,10.776,10.511,21.835,23.321,26.595,22.329,-0.123,19.250,20.381,22.530,35.916,24.040,15.288,9.768,6.659,9.614,19.515,48.466,32.296,21.865,16.036,11.659,13.053,21.128
36.348,32.616,51.645,38.157,19.866,35.020,35.439,45.301,24.901,25.073,35.142,23.918,8.348,23.453,23.797,27.702,17.306,17.104,26.478,13.676,2.374,12.637,14.097,20.036,12.710,15.021,21.913,9.319,-3.338,5.634,8.042,11.071,10.176,13.119,16.212,2.348,-6.052,1.822,7.700,8.149,11.426,15.106,16.173,9.136,-2.891,7.357,11.034,11.336,21.859,23.336,26.616,22.342,-0.061,19.265,20.411,22.578,36.799,24.042,15.464,10.047,6.684,9.835,19.543,49.658,32.367,22.216,16.529,11.903,13.385,21.198
