333398.000,359573.156,750000.062,750000.062,750000.062,526579.875,407719.875,196294.641,-0.138,0.925,-0.459,2.869,-4.211,-3.296,86.667,36.000,1.000
329173.969,355087.250,750000.062,750000.062,750000.062,516695.562,399412.000,193760.125,-0.140,0.925,-0.457,2.228,-4.059,-2.686,86.667,37.000,1.000
324769.875,350138.562,750000.062,750000.062,750000.062,506942.688,391137.031,191167.859,-0.135,0.931,-0.453,1.648,-3.723,-2.319,86.667,38.000,1.000
320381.062,344972.812,750000.062,750000.062,750000.062,497316.406,382887.469,188602.594,-0.133,0.929,-0.452,0.946,-3.540,-1.770,86.667,39.000,1.000
316479.781,340485.312,750000.062,750000.062,750000.062,488352.375,375239.688,186285.344,-0.127,0.935,-0.445,0.336,-3.265,-1.282,86.667,40.000,1.000
313167.625,336931.656,750000.062,750000.062,750000.062,480352.250,368536.375,184287.812,-0.123,0.937,-0.440,-0.336,-2.930,-0.488,86.667,41.000,1.000
310021.656,333606.156,750000.062,750000.062,750000.062,472911.438,362343.969,182416.531,-0.120,0.945,-0.434,-1.251,-2.594,0.061,86.667,42.000,1.000
306643.688,329765.688,750000.062,750000.062,750000.062,465430.031,356019.594,180386.906,-0.115,0.949,-0.430,-2.167,-2.411,0.885,86.667,43.000,1.000
303212.875,325648.938,750000.062,750000.062,750000.062,457896.781,349571.719,178370.500,-0.112,0.954,-0.427,-3.326,-2.014,1.740,86.667,44.000,1.000
300191.531,322137.125,750000.062,750000.062,750000.062,450875.219,343587.188,176539.812,-0.106,0.958,-0.424,-4.547,-1.801,2.563,86.667,45.000,1.000
297698.531,319471.875,750000.062,750000.062,750000.062,444670.812,338412.219,175031.688,-0.103,0.960,-0.421,-5.859,-1.434,3.540,86.667,46.000,1.000
295322.344,317000.594,750000.062,750000.062,750000.062,438923.188,333655.938,173604.578,-0.102,0.960,-0.426,-6.989,-1.038,4.181,86.667,47.000,1.000
292701.281,314027.375,750000.062,750000.062,750000.062,433080.094,328729.438,172075.984,-0.102,0.951,-0.426,-7.904,-0.580,4.669,86.667,48.000,1.000
289992.000,310765.094,750000.062,750000.062,750000.062,427122.375,323624.500,170485.609,-0.101,0.942,-0.423,-8.728,-0.183,4.883,86.667,49.000,1.000
287680.906,308095.375,750000.062,750000.062,750000.062,421647.344,318986.938,169098.906,-0.101,0.930,-0.424,-9.186,0.061,4.852,86.667,50.000,1.000
285848.438,306216.938,750000.062,750000.062,750000.062,416914.250,315092.469,167994.469,-0.098,0.924,-0.423,-9.338,0.427,4.608,86.667,51.000,1.000
284088.531,304489.438,750000.062,750000.062,750000.062,412537.500,311541.500,166944.109,-0.096,0.916,-0.421,-9.247,0.702,4.456,86.667,52.000,1.000
282076.156,302263.469,750000.062,750000.062,750000.062,408034.500,307812.406,165786.828,-0.096,0.913,-0.418,-9.033,1.099,4.211,86.667,53.000,1.000
279923.062,299654.469,750000.062,750000.062,750000.062,403349.219,303848.188,164566.688,-0.090,0.911,-0.415,-8.575,1.343,3.815,86.667,54.000,1.000
278092.000,297530.875,750000.062,750000.062,750000.062,399015.594,300222.562,163501.141,-0.088,0.913,-0.415,-8.362,1.709,3.418,86.667,55.000,1.000
276679.469,296120.750,750000.062,750000.062,750000.062,395292.312,297210.344,162624.422,-0.084,0.914,-0.412,-7.843,2.075,3.113,86.667,56.000,1.000
275331.656,294817.375,750000.062,750000.062,750000.062,391866.594,294486.562,161822.172,-0.086,0.915,-0.409,-7.477,2.441,2.838,86.667,57.000,1.000
273677.000,292943.062,750000.062,750000.062,750000.062,388196.969,291470.250,160873.016,-0.087,0.922,-0.403,-7.202,2.808,2.625,86.667,58.000,1.000
271894.156,290733.188,750000.062,750000.062,750000.062,384310.562,288189.281,159856.375,-0.089,0.927,-0.403,-6.897,3.021,2.502,86.667,59.000,1.000
270435.188,289002.969,750000.062,750000.062,750000.062,380742.938,285221.688,159002.625,-0.089,0.934,-0.399,-6.714,3.052,2.258,86.667,60.000,1.000
269349.531,287927.406,750000.062,750000.062,750000.062,377724.219,282820.750,158350.578,-0.092,0.936,-0.396,-6.653,3.113,2.136,86.667,61.000,1.000
268317.312,286958.250,750000.062,750000.062,750000.062,374962.969,280654.250,157714.281,-0.094,0.937,-0.393,-6.714,3.143,1.862,86.667,62.000,1.000
266987.562,285448.594,750000.062,750000.062,750000.062,371956.125,278207.344,156947.969,-0.093,0.930,-0.386,-6.866,2.991,1.556,86.667,63.000,1.000
265514.781,283592.969,750000.062,750000.062,750000.062,368709.375,275469.094,156107.625,-0.091,0.924,-0.383,-6.989,2.991,1.404,86.667,64.000,1.000
264358.469,282206.688,750000.062,750000.062,750000.062,365772.094,273029.531,155431.000,-0.086,0.915,-0.379,-6.836,2.960,1.312,86.667,65.000,1.000
263552.375,281452.562,750000.062,750000.062,750000.062,363353.281,271126.688,154948.922,-0.091,0.907,-0.377,-6.683,2.991,1.282,86.667,66.000,1.000
262760.500,280761.531,750000.062,750000.062,750000.062,361133.406,269414.812,154450.469,-0.090,0.903,-0.376,-6.104,2.899,1.312,86.667,67.000,1.000
261686.641,279546.656,750000.062,750000.062,750000.062,358676.594,267428.625,153848.234,-0.094,0.904,-0.381,-5.615,2.716,1.312,86.667,68.000,1.000
260467.750,277978.906,750000.062,750000.062,750000.062,355970.219,265144.625,153165.781,-0.091,0.906,-0.375,-5.066,2.533,1.160,86.667,69.000,1.000
259530.500,276842.094,750000.062,750000.062,750000.062,353522.094,263124.844,152627.016,-0.092,0.910,-0.377,-4.303,2.319,1.007,86.667,70.000,1.000
258943.094,276328.000,750000.062,750000.062,750000.062,351570.875,261622.531,152270.281,-0.090,0.913,-0.373,-3.906,2.167,0.702,86.667,71.000,1.000
258353.453,275865.438,750000.062,750000.062,750000.062,349806.875,260307.359,151902.281,-0.087,0.917,-0.368,-3.296,1.984,0.336,86.667,72.000,1.000
257477.172,274867.906,750000.062,750000.062,750000.062,347782.781,258695.438,151413.500,-0.088,0.926,-0.364,-3.204,1.892,0.122,86.667,73.000,1.000
256446.938,273511.688,750000.062,750000.062,750000.062,345495.031,256787.484,150841.922,-0.085,0.930,-0.357,-3.143,1.709,-0.061,86.667,74.000,1.000
