30.871,30.876,30.881,30.869,30.870,30.884,30.872,30.867,9.351,9.466,9.422,9.402,9.436,9.468,9.434,9.467,-2.105,-1.876,-2.000,-2.260,-1.950,-2.294,-2.054,-1.756,-4.255,-4.576,-4.287,-4.278,-4.344,-4.189,-4.667,-4.551,-6.293,-6.353,-6.458,-6.186,-6.142,-6.340,-6.599,-6.046,-3.667,-3.856,-3.649,-3.541,-3.567,-3.641,-3.739,-3.477,-4.637,-4.684,-4.474,-4.414,-4.599,-4.774,-4.599,-4.641,30.874,9.431,-2.037,-4.393,-6.302,-3.642,-4.603,-9.993,-17.964,-22.088,-21.950,-24.792,-20.073,-20.063
30.907,30.914,30.919,30.907,30.907,30.920,30.909,30.904,8.074,8.204,8.130,8.109,8.139,8.172,8.130,8.157,-2.114,-1.905,-2.041,-2.328,-2.002,-2.347,-2.122,-1.770,-4.378,-4.622,-4.394,-4.358,-4.434,-4.288,-4.724,-4.680,-6.023,-6.077,-6.166,-5.960,-5.922,-6.084,-6.339,-5.770,-3.737,-3.951,-3.642,-3.606,-3.623,-3.717,-3.864,-3.498,-4.356,-4.336,-4.134,-4.027,-4.253,-4.385,-4.249,-4.304,30.911,8.139,-2.079,-4.485,-6.043,-3.705,-4.255,-9.874,-18.491,-22.136,-22.008,-24.717,-20.244,-19.853
30.751,30.759,30.764,30.752,30.752,30.764,30.755,30.748,7.689,7.817,7.743,7.717,7.768,7.790,7.755,7.763,-2.074,-1.902,-1.977,-2.267,-2.032,-2.346,-2.123,-1.780,-4.529,-4.669,-4.501,-4.425,-4.552,-4.385,-4.800,-4.791,-5.804,-5.851,-5.914,-5.747,-5.739,-5.877,-6.119,-5.565,-3.630,-3.869,-3.555,-3.494,-3.491,-3.622,-3.815,-3.413,-4.299,-4.298,-4.082,-4.003,-4.205,-4.332,-4.230,-4.246,30.756,7.755,-2.063,-4.581,-5.827,-3.611,-4.212,-9.807,-18.727,-22.152,-22.105,-24.708,-20.343,-19.845
30.341,30.351,30.355,30.343,30.342,30.355,30.347,30.338,6.504,6.628,6.533,6.515,6.542,6.548,6.517,6.525,-2.092,-1.955,-1.989,-2.273,-2.100,-2.412,-2.192,-1.853,-4.790,-4.823,-4.713,-4.582,-4.772,-4.574,-5.004,-4.985,-5.693,-5.735,-5.799,-5.635,-5.645,-5.772,-5.998,-5.447,-3.869,-4.128,-3.832,-3.781,-3.729,-3.885,-4.110,-3.681,-4.360,-4.367,-4.160,-4.100,-4.314,-4.389,-4.306,-4.347,30.347,6.539,-2.108,-4.781,-5.716,-3.877,-4.293,-9.851,-19.103,-22.230,-22.220,-24.910,-20.504,-19.896
29.627,29.642,29.641,29.632,29.629,29.644,29.635,29.626,4.851,4.997,4.887,4.831,4.901,4.894,4.873,4.877,-2.028,-1.904,-1.906,-2.220,-2.042,-2.341,-2.112,-1.824,-5.069,-5.029,-4.966,-4.765,-5.033,-4.792,-5.294,-5.225,-5.515,-5.548,-5.647,-5.468,-5.440,-5.611,-5.808,-5.268,-4.027,-4.252,-4.061,-3.993,-3.907,-4.084,-4.267,-3.841,-4.193,-4.274,-4.033,-3.997,-4.172,-4.283,-4.173,-4.243,29.634,4.889,-2.047,-5.022,-5.538,-4.054,-4.171,-10.102,-19.414,-22.276,-22.328,-25.136,-20.713,-19.949
28.595,28.613,28.609,28.602,28.595,28.610,28.603,28.598,4.311,4.480,4.330,4.279,4.333,4.351,4.303,4.313,-1.995,-1.879,-1.867,-2.191,-2.034,-2.300,-2.076,-1.810,-5.419,-5.311,-5.310,-5.038,-5.366,-5.079,-5.698,-5.579,-5.387,-5.425,-5.540,-5.368,-5.291,-5.508,-5.692,-5.157,-4.271,-4.481,-4.334,-4.263,-4.227,-4.412,-4.482,-4.102,-4.185,-4.326,-3.993,-4.015,-4.229,-4.342,-4.183,-4.264,28.603,4.337,-2.019,-5.350,-5.421,-4.322,-4.192,-10.541,-19.553,-22.186,-22.471,-25.264,-20.803,-19.855
27.297,27.318,27.310,27.309,27.295,27.306,27.305,27.308,2.980,3.169,2.987,2.900,3.001,2.971,2.975,3.002,-2.073,-1.938,-1.945,-2.287,-2.137,-2.358,-2.155,-1.896,-5.776,-5.565,-5.658,-5.323,-5.703,-5.349,-6.073,-5.960,-5.219,-5.278,-5.417,-5.263,-5.110,-5.399,-5.552,-5.045,-4.282,-4.476,-4.335,-4.260,-4.287,-4.417,-4.469,-4.110,-3.904,-3.956,-3.681,-3.723,-3.976,-4.019,-3.929,-4.000,27.306,2.998,-2.099,-5.676,-5.285,-4.329,-3.898,-11.056,-19.972,-22.163,-22.664,-25.251,-20.763,-19.740
25.876,25.899,25.886,25.892,25.870,25.874,25.880,25.894,2.991,3.163,3.008,2.929,3.015,2.955,3.000,3.005,-2.156,-1.984,-2.027,-2.369,-2.224,-2.387,-2.249,-1.998,-5.948,-5.680,-5.814,-5.431,-5.923,-5.493,-6.262,-6.135,-5.013,-5.067,-5.253,-5.111,-4.901,-5.258,-5.375,-4.894,-3.840,-3.816,-3.885,-3.806,-3.829,-3.970,-4.016,-3.746,-3.850,-3.856,-3.596,-3.688,-3.871,-3.941,-3.862,-3.951,25.884,3.008,-2.174,-5.836,-5.109,-3.864,-3.827,-11.441,-19.955,-22.221,-22.804,-25.294,-20.654,-19.755
24.548,24.575,24.553,24.568,24.545,24.531,24.548,24.569,3.191,3.397,3.206,3.193,3.272,3.198,3.267,3.224,-2.037,-1.852,-1.881,-2.223,-2.124,-2.223,-2.138,-1.945,-5.840,-5.588,-5.725,-5.341,-5.880,-5.430,-6.181,-6.035,-4.796,-4.858,-5.091,-4.915,-4.710,-5.137,-5.259,-4.758,-3.841,-3.763,-3.890,-3.817,-3.787,-4.022,-4.097,-3.847,-3.841,-3.843,-3.592,-3.667,-3.857,-3.918,-3.843,-3.929,24.555,3.243,-2.053,-5.753,-4.940,-3.883,-3.811,-11.694,-19.845,-22.227,-22.838,-25.227,-20.717,-19.774
23.418,23.452,23.423,23.446,23.431,23.393,23.421,23.438,4.395,4.527,4.423,4.453,4.457,4.338,4.484,4.363,-1.893,-1.708,-1.722,-2.048,-1.975,-2.063,-1.997,-1.846,-5.767,-5.523,-5.658,-5.270,-5.830,-5.373,-6.120,-5.970,-4.564,-4.596,-4.883,-4.693,-4.517,-4.935,-5.026,-4.527,-3.880,-3.782,-3.932,-3.846,-3.824,-4.058,-4.136,-3.897,-3.966,-3.912,-3.729,-3.892,-3.969,-4.080,-3.970,-4.093,23.428,4.430,-1.907,-5.689,-4.718,-3.919,-3.951,-11.992,-19.454,-22.165,-22.854,-25.150,-20.667,-19.743
